"","address","type_l1","amount","type_l2"
"88","0x31dA8769c92f14ceAeb74FcBA0808E9297195118","other",1.9830508476,"HRMS"
"89","0x93C8C5E46c92D3a5001B54d01BeC369262773a1f","other",246.555285205047,"HRMS"
"90","0x2dF4450F08A8E54FdCcd5738D39AFD45Ed577EEc","other",54.9308995080086,"HRMS"
"91","0x023513C05bEe249009129bF494818072b839F2d0","other",5.41855131521428,"HRMS"
"92","0x769a1d4f4Ca865e5f73C15E90F7cAc54B16dA2B7","other",34.452762379331,"HRMS"
"93","0x46A97702Dd79c4B7e3DEcD3851aF38625934092e","other",10.9576303508255,"HRMS"
"94","0xCC0561ba1Db49978618AED16dB43D3f5F8FBdF62","other",2341.55634230523,"HRMS"
"95","0x0EA21bB13D404a1a8679e7f181177E94f4688496","other",518.577003705589,"HRMS"
"96","0xCD22eC2C0c12D061246555Ea61c3726F291686Fd","other",1956.9809901375,"HRMS"
"97","0x72b685215938BbA28C23c1B7D8214aA6D1716454","other",580.574516736883,"HRMS"
"98","0xe2862aE361eC309966bCDC67A75AE5923C830969","other",117.380471489939,"HRMS"
"99","0xC167b6c615ccABf9465C8Ad1f0B3b5854C555673","other",62.0889318582837,"HRMS"
"100","0x666D0231107CA54d4f20Cfe60227fe1Bc7a84E32","other",0.111994998210288,"HRMS"
"101","0xC079aBF490E72509F17ABCD93dD99a5D1bCBcD30","other",107.428948696404,"HRMS"
"102","0x3560580BBe7411a963B859f5017320790901a4Fb","other",459.966243501144,"HRMS"
"103","0xFB8e9f1725852fD35dE85E4b64224E310C93065A","other",662.353538247706,"HRMS"
"104","0xB3b121860287839E42aEDde8f211e8392E81f0A2","other",97.8987132659653,"HRMS"
"105","0x2884885673769543B0bB4BbB11959B01E504Ab4C","other",26.5995893496142,"HRMS"
"106","0xAa91744c78CbE697d2D474909A18e4a8B6f602ab","other",67.3260621586495,"HRMS"
"107","0x92244B4E211a02EbCEAD59ef12e0AF4Ed9BA4764","other",30.1353644685023,"HRMS"
"108","0x992a63544D9D0bD5e9Fc3A3CA29f9d7afe2214Ac","other",216.186471536149,"HRMS"
"109","0xAA7AaDed221fc537590f395184399D337B1f6fB4","other",42.5163375250456,"HRMS"
"110","0x5Ab3a4c2581bE19F025a2EB9208839507c46E5bF","other",10.7619995732228,"HRMS"
"111","0xAB90833397Cb07287059A887e1335c108a78f0df","other",246.98220342805,"HRMS"
"112","0x0C9417451159B37175BEf8F68a48aB1a9Bb5A62B","other",209.687862809678,"HRMS"
"113","0xd8D930B7E563189e0A6A9EA259Ce8a11109EF133","other",54.3890399174934,"HRMS"
"114","0xd9faD3926E2eF16c93AdB4F02E74dd25BBF662b2","other",10.7202712451378,"HRMS"
"115","0xBA610c1E291d094c808b47F2e44C13d9d79026A9","other",11834.2889575438,"HRMS"
"116","0xAa96B3a74Dc6D0CD03b316FBc7a8A2d0D629FC5C","other",71.5073940585217,"HRMS"
"117","0xC2C9522e9FbB3F6682fFb361013D9560c2fF6357","other",0.469542349754516,"HRMS"
"118","0x3890C6B13De444029c30621e911F0D5b2361810B","other",33.2306218237051,"HRMS"
"119","0x23AAa6bf398271c08500D9526903eEeA14477325","other",10.9851557903799,"HRMS"
"120","0x63f1F224279F07f29EfD4006660BeF65Af747862","other",11.2917675284962,"HRMS"
"121","0x9A438A5635cc1a439A8C41Bf3A259758a89Bd785","other",38.2475027285336,"HRMS"
"122","0x9b212D75B49866AebC8674830F27bBa959499E36","other",93.4434979908698,"HRMS"
"123","0xC575B5e473EF412c78DEacf11AD57E33e5c2639b","other",17.6540467837807,"HRMS"
"124","0xfc8084Cf7E0f916f114F9BDd8A86BA2427EFE976","other",13.1385975934535,"HRMS"
"125","0x488FBe629DAD546715e1cE2461C7C3feecCf599d","other",10.5035875930144,"HRMS"
"126","0x810EF00caE4f1A132a36921C7363b1A6251C1894","other",8.29150794023038,"HRMS"
"127","0x4DdC8906725325F5462a8c3d02cdBD0dE0AAaA91","other",384.714474024717,"HRMS"
"128","0x85c772BDE8f67aC4BA2eF35Ec7f2C1dF9fAe464D","other",10.8792949707611,"HRMS"
"129","0xE64E65dd57B02DBb41dDE26C07CbeFd4b52AB2Ab","other",17.5642075837956,"HRMS"
"130","0x9d3A972e32881d3B8670B2Ad4fB7386FB8142086","other",7.23519738134015,"HRMS"
"131","0xb0079838de6f47B67C6d316d8aedcDd1109Bd6e7","other",66.7764592322663,"HRMS"
"132","0x9Dd6F45f378bD72D1C51aCB069e7e86FBfEC585b","other",1052.37269557313,"HRMS"
"133","0x662703E7d7F5B0b6b9CB3879933F0e3E0368055a","other",66.5926826993536,"HRMS"
"134","0x730488d5FB9Bf55A52FD10797b7d549B55D708e4","other",5.956263279458,"HRMS"
"135","0xa98ec0d769e2208b6f6D1D37CF3C6317c823d871","other",3.89027731902601,"HRMS"
"136","0x570e0a5134b7c52Ad0b8C42C6aE9C8D4F2b1291d","other",1713.16902088202,"HRMS"
"137","0x9Ba1bE12F267cf324D02193De440942E44698117","other",100.068569396584,"HRMS"
"138","0x8831726Be976F50D736195006E815982709365Df","other",4.96399098305183,"HRMS"
"139","0x55899fd1140EC8e691B20649f282905203487911","other",1.5144584661676,"HRMS"
"140","0xd30fE8d6A7D0944E4A3A3E13ef53F783823502e1","other",72.6973526462071,"HRMS"
"141","0x85871238750343B403bAD6a155b2B35092bDc6B0","other",26.5261654759977,"HRMS"
