account,whitelisted_PLTS,whitelisted_pHRMS,whitelisted_pHRMS_WEI,airdropped_pHRMS,airdropped_WEI,total_pHRMS,total_PLTS
0x023513C05bEe249009129bF494818072b839F2d0,8.197295578838213,5.418551315214284,5418551315214284000,0,0,5.418551315214284,8.197295578838213
0x769a1d4f4Ca865e5f73C15E90F7cAc54B16dA2B7,52.120845647040774,34.45276237933099,34452762379330980000,0,0,34.45276237933099,52.120845647040774
0x46A97702Dd79c4B7e3DEcD3851aF38625934092e,15.730994673776959,10.39845410714149,10398454107141493000,0,0,10.39845410714149,15.730994673776959
0xCC0561ba1Db49978618AED16dB43D3f5F8FBdF62,2718.324555108833,1796.8586043534885,1.7968586043534882e+21,0,0,1796.8586043534885,2718.324555108833
0x0EA21bB13D404a1a8679e7f181177E94f4688496,784.5139286264903,518.5770037055892,518577003705589100000,0,0,518.5770037055892,784.5139286264903
0xCD22eC2C0c12D061246555Ea61c3726F291686Fd,1753.1729653102084,1158.8770449492717,1.1588770449492714e+21,279.52479447445756,279524794474457600000,1438.4018394237287,2176.043808202746
0x72b685215938BbA28C23c1B7D8214aA6D1716454,890.6986989371088,588.7669366278169,588766936627816960000,0,0,588.7669366278169,890.6986989371088
0xe2862aE361eC309966bCDC67A75AE5923C830969,258.0404603964661,170.5691179014354,170569117901435470000,6.779497763889325,6779497763889326000,177.34861566532473,268.2966236795623
0xC167b6c615ccABf9465C8Ad1f0B3b5854C555673,74.56697591819577,49.29003493251563,49290034932515630000,0,0,49.29003493251563,74.56697591819577
0x666D0231107CA54d4f20Cfe60227fe1Bc7a84E32,0.1694283306136569,0.11199499821028844,111994998210288430,0,0,0.11199499821028844,0.1694283306136569
0xC079aBF490E72509F17ABCD93dD99a5D1bCBcD30,162.52071724699437,107.42894869640403,107428948696404030000,0,0,107.42894869640403,162.52071724699437
0x3560580BBe7411a963B859f5017320790901a4Fb,933.5422598827545,617.087256576972,617087256576971800000,0,0,617.087256576972,933.5422598827545
0xFB8e9f1725852fD35dE85E4b64224E310C93065A,999.632036757865,660.7737192602661,660773719260266100000,0,0,660.7737192602661,999.632036757865
0xB3b121860287839E42aEDde8f211e8392E81f0A2,92.10318159685298,60.88176411076533,60881764110765335000,0,0,60.88176411076533,92.10318159685298
0x2884885673769543B0bB4BbB11959B01E504Ab4C,40.24040439780936,26.599589349614202,26599589349614200000,0,0,26.599589349614202,40.24040439780936
0xAa91744c78CbE697d2D474909A18e4a8B6f602ab,101.85224787372138,67.32606215864949,67326062158649490000,0,0,67.32606215864949,101.85224787372138
0x92244B4E211a02EbCEAD59ef12e0AF4Ed9BA4764,42.49580452740336,28.090447062503713,28090447062503710000,0,0,28.090447062503713,42.49580452740336
0x992a63544D9D0bD5e9Fc3A3CA29f9d7afe2214Ac,327.05132871069287,216.1864715361486,216186471536148580000,0,0,216.1864715361486,327.05132871069287
0xAA7AaDed221fc537590f395184399D337B1f6fB4,108.08250048757483,71.44436473420424,71444364734204240000,12.06337392998299,12063373929982990000,83.50773866418723,126.33222002136708
0x5Ab3a4c2581bE19F025a2EB9208839507c46E5bF,16.28097371216823,10.761999573222841,10761999573222840000,0,0,10.761999573222841,16.28097371216823
0xAB90833397Cb07287059A887e1335c108a78f0df,195.50803962667212,129.23412789809555,129234127898095520000,0,0,129.23412789809555,195.50803962667212
0x0C9417451159B37175BEf8F68a48aB1a9Bb5A62B,267.7797956318636,177.00698356597394,177006983565973950000,0,0,177.00698356597394,267.7797956318636
0xd8D930B7E563189e0A6A9EA259Ce8a11109EF133,50.227416262763036,33.20117346421008,33201173464210084000,0,0,33.20117346421008,50.227416262763036
0xd9faD3926E2eF16c93AdB4F02E74dd25BBF662b2,16.217846241479993,10.720271245137791,10720271245137789000,0,0,10.720271245137791,16.217846241479993
0xBA610c1E291d094c808b47F2e44C13d9d79026A9,17903.15508833212,11834.288957543757,1.1834288957543756e+22,0,0,11834.288957543757,17903.15508833212
0xAa96B3a74Dc6D0CD03b316FBc7a8A2d0D629FC5C,108.17785254230472,71.50739405852173,71507394058521720000,0,0,71.50739405852173,108.17785254230472
0xC2C9522e9FbB3F6682fFb361013D9560c2fF6357,0.17780096521735514,0.1175294515927914,117529451592791410,0,0,0.1175294515927914,0.17780096521735514
0x3890C6B13De444029c30621e911F0D5b2361810B,50.271966345072826,33.23062182370511,33230621823705110000,0,0,33.23062182370511,50.271966345072826
0x23AAa6bf398271c08500D9526903eEeA14477325,16.618569015022594,10.985155790379885,10985155790379885000,0,0,10.985155790379885,16.618569015022594
0x63f1F224279F07f29EfD4006660BeF65Af747862,17.082417541883142,11.291767528496159,11291767528496159000,0,0,11.291767528496159,17.082417541883142
